활동,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912
경제활동인구,161,164,166,168,171,174,177,176,174,178,181,178
취업자,157,158,163,165,167,169,172,172,170,173,175,172
실업자,4,6,3,3,5,5,5,4,4,5,6,6
