전국신세계백화점,위도,경도
강남점,37.5041299,127.0030692
본점,37.5609008,126.9809889
경기점,37.3332397,127.1128776
센텀시티점,35.1687032,129.1297466
광주신세계,35.1597624,126.8803477
스타필드하남점,37.5434191,127.236611
김해점,35.2284768,128.8723565
아라리오점(천안),36.8196847,127.1543899
대구신세계,35.8778124,128.6284527
의정부점,37.7353974,127.046992
마산점,35.2195797,128.5866064
타임스퀘어점,37.5171482,126.9055629
